Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (ozf·in),Thrust (ozf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (ozf/W),Overall Efficiency (ozf/W),Vibration (g),App message
18.305664999991656,1560,,,,-0.349609375,-0.2734375,-1.228515625,30.34360464716007,38.099763114838275,12.770857810974121,14.34082031,5432,0,183.14457710366696,121.88010155816228,66.54857243694056,0.3126003558231097,0.20803107423307612,0.962890625,
18.33072499999404,1561,,,,0.349609375,0.009765625,-0.9921875,30.74161358120824,38.11398502208074,12.750999450683594,15.98144531,5455,0,203.7794004008174,124.00311389785261,60.85164332309775,0.307363128,0.18703551461587212,0.970703125,
18.353879999995232,1562,,,,-0.32421875,-0.072265625,-0.88671875,32.35205712931839,38.34295008,12.803999900817871,13.69873047,5466,0,175.39854356320575,130.77239673252663,74.55728769230181,0.29320369619685094,0.21860472329794872,0.9609375,
18.376984999999404,1562,,,,-0.703125,-0.18359375,-0.916015625,31.86177613822255,38.73275267992847,12.813499450683594,13.27819824,5469,0,170.1401858823374,128.85021085003348,75.73179151,0.30060294371585344,0.22765199461292818,0.962890625,
18.400625,1563,,,,-0.375,-0.12109375,-0.853515625,30.563783871528095,38.78826399529424,12.797714233398438,13.182896614074707,5481,0,168.71094363536395,123.88072453917079,73.42779423184011,0.31310976053445244,0.22990959068504507,0.96875,
18.423140000000597,1564,,,,-0.349609375,-0.1640625,-0.990234375,30.75241434171519,38.790328465700405,12.780500411987305,13.86108398,5475,0,177.15158957289532,124.50542562160284,70.28185630271788,0.3115553259790626,0.21896686650806904,0.9609375,
18.446505000010134,1565,,,,0.0234375,0.3359375,-0.796875,30.673897944492204,38.81686073351297,12.795333862304688,13.431803703308105,5471,0,171.8644127567677,124.09577881885913,72.20562816252514,0.3127975915294702,0.22585746584110344,0.953125,
18.471379999995232,1565,,,,0.046875,0.384765625,-0.9140625,31.11462562437203,38.82271006633043,12.785999298095703,14.8034668,5483,0,189.2771160742268,126.16841466925199,66.65803943239175,0.3077054599449744,0.2051104268257434,0.94140625,
18.497120000004767,1566,,,,-0.236328125,0.078125,-1.05078125,31.397410440881398,38.941799424019386,12.784000396728516,14.32739258,5499,0,183.1613924028352,127.67598667932765,69.70682249375132,0.3050048833523098,0.21260921263566784,0.927734375,
18.520280000001193,1567,,,,0.103515625,0.232421875,-1.048828125,31.547929657270515,39.058862542235616,12.789501190185547,14.45495605,5505,0,184.87167766550556,128.43250612504139,69.47116386178881,0.30411975691113635,0.21127553465980933,0.916015625,
18.54617999999225,1568,,,,0.40625,0.01953125,-1.046875,31.494239812256772,39.32521745556433,12.768571853637695,14.317801475524902,5509,0,182.81787692635953,128.31254544808615,70.18599472073042,0.30647991058267077,0.21510597386165267,0.919921875,
18.569019999995827,1569,,,,0.2109375,0.154296875,-1.0859375,31.43436445212558,39.32399406569401,12.77600098,14.28602409362793,5512,0,182.51825777138583,128.12893914762952,70.20061483827995,0.3069095422727655,0.2154523856728321,0.923828125,
18.591640000000595,1570,,,,0.173828125,0.068359375,-1.05078125,31.54629902704734,39.34850009403385,12.761144638061523,14.663783073425293,5524,0,187.1266567411385,128.87455879828758,68.87022995155954,0.3053240333929795,0.21027736389512142,0.9140625,
18.616570000007748,1570,,,,-0.40625,-0.16796875,-1.06640625,32.04224332556133,39.51878067,12.771501541137695,14.82666016,5529,0,189.35871303547174,131.00438739264777,69.18318428162706,0.3016599784033407,0.20869797876269958,0.908203125,
18.643335000008346,1571,,,,-0.32421875,-0.20703125,-1.00390625,32.13945374731654,39.63362639568528,12.76500129699707,14.71252441,5544,0,187.80539322760887,131.75618095962608,70.15569611461876,0.30081037646218795,0.21103561359205328,0.90625,
18.666524999991058,1572,,,,-0.625,-0.173828125,-0.962890625,32.221302627910816,39.788614599881434,12.771500587463379,14.98901367,5548,0,191.43219691584818,132.19478655527283,69.05567019814562,0.3009847486174892,0.20784703535201104,0.90234375,
18.689090000003578,1573,,,,-0.265625,-0.076171875,-0.8984375,32.26218151844583,39.99055039035111,12.783429145812988,14.904436111450195,5566,0,190.52980298902003,132.77934642021145,69.68954165551902,0.3011805033577407,0.2098913123457946,0.90625,
18.715489999994634,1574,,,,-0.0859375,-0.103515625,-0.90625,32.128830343475286,40.06884734205159,12.764500617980957,14.4744873,5564,0,184.7596021456411,132.20554591133424,71.55543981260585,0.30307992804571454,0.21687017549684035,0.90234375,
18.738059999987485,1574,,,,-0.173828125,0.0546875,-1.05859375,32.20132390995057,40.114418614721004,12.764999389648438,15.23864746,5574,0,194.5213255379349,132.72794625778047,68.23310806192111,0.3022303873881384,0.20622118682251125,0.890625,
18.763859999999404,1575,,,,0.3125,0.08203125,-0.982421875,32.200275880306584,40.16824776901508,12.772000312805176,15.328543663024902,5570,0,195.77616445900185,132.6313060710386,67.74640132395349,0.30285645945083717,0.20517435245508064,0.884765625,
18.786530000001193,1576,,,,0.162109375,0.259765625,-1.052734375,32.73482736,40.365901694938636,12.723000526428223,13.87756348,5585,0,176.56424741784576,135.20693687742084,76.57662230873314,0.29854904361552487,0.22861877353579546,0.888671875,
